Model,Trial,Best_Score_So_Far
LGBM,13,0.9970833333333333
LGBM,14,0.9970833333333333
LGBM,15,0.9970833333333333
LGBM,16,0.9970833333333333
LGBM,17,0.9970833333333333
LGBM,18,0.9970833333333333
LGBM,19,0.9970833333333333
LGBM,20,0.9970833333333333
LGBM,21,0.9970833333333333
LGBM,22,0.9970833333333333
LGBM,23,0.9970833333333333
LGBM,24,0.9970833333333333
LGBM,25,0.9970833333333333
LGBM,26,0.9970833333333333
LGBM,27,0.9970833333333333
LGBM,28,0.9970833333333333
LGBM,29,0.9970833333333333
LGBM,30,0.9970833333333333
LGBM,31,0.9970833333333333
LGBM,32,0.9970833333333333
LGBM,33,0.9970833333333333
LGBM,34,0.9970833333333333
LGBM,35,0.9970833333333333
LGBM,36,0.9970833333333333
LGBM,37,0.9970833333333333
LGBM,38,0.9970833333333333
LGBM,39,0.9970833333333333
LGBM,40,0.9970833333333333
LGBM,41,0.9970833333333333
LGBM,42,0.9971458333333334
LGBM,43,0.9971458333333334
LGBM,44,0.9971458333333334
LGBM,45,0.9971458333333334
LGBM,46,0.9975833333333334
LGBM,47,0.9979166666666668
LGBM,48,0.9979166666666668
LGBM,49,0.9979166666666668
LGBM,50,0.9979166666666668
LR,1,0.8769583333333333
LR,2,0.8964583333333334
LR,3,0.8964583333333334
LR,4,0.8964583333333334
LR,5,0.89725
LR,6,0.89725
LR,7,0.89725
LR,8,0.89725
LR,9,0.89725
LR,10,0.89725
LR,11,0.89725
LR,12,0.89725
LR,13,0.89725
LR,14,0.8972916666666666
LR,15,0.8972916666666666
LR,16,0.8972916666666666
LR,17,0.8972916666666666
LR,18,0.8972916666666666
LR,19,0.8972916666666666
LR,20,0.8972916666666666
LR,21,0.8972916666666666
LR,22,0.8972916666666666
LR,23,0.8972916666666666
LR,24,0.8972916666666666
LR,25,0.8972916666666666
LR,26,0.8972916666666666
LR,27,0.8972916666666666
LR,28,0.8972916666666666
LR,29,0.8972916666666666
LR,30,0.8972916666666666
LR,31,0.8972916666666666
LR,32,0.8972916666666666
LR,33,0.8972916666666666
LR,34,0.8972916666666666
LR,35,0.8972916666666666
LR,36,0.8972916666666666
LR,37,0.8972916666666666
LR,38,0.8972916666666666
LR,39,0.8972916666666666
LR,40,0.8972916666666666
LR,41,0.8972916666666666
LR,42,0.8972916666666666
LR,43,0.8972916666666666
LR,44,0.8972916666666666
LR,45,0.8972916666666666
LR,46,0.8972916666666666
LR,47,0.8972916666666666
LR,48,0.8972916666666666
LR,49,0.8972916666666666
LR,50,0.8972916666666666
LinearSVC,1,0.8826041666666666
LinearSVC,2,0.8946458333333334
LinearSVC,3,0.8946458333333334
LinearSVC,4,0.8970416666666665
LinearSVC,5,0.8970416666666665
LinearSVC,6,0.8970416666666665
LinearSVC,7,0.8970416666666665
LinearSVC,8,0.8970416666666665
LinearSVC,9,0.8970416666666665
